Time,Log
2019/02/14 16:01:24,自動発注処理を開始します
2019/02/14 16:01:24,[1/9]:閾値読込
2019/02/14 16:01:24,読み込み完了しました。
2019/02/14 16:01:24,閾値一覧
2019/02/14 16:01:24,閾値1:15/1  
2019/02/14 16:01:24,閾値2:10/1  
2019/02/14 16:01:24,閾値3:10/1  
2019/02/14 16:01:24,閾値4:9/1  
2019/02/14 16:01:24,閾値5:8/1  
2019/02/14 16:01:24,閾値6:7/1  
2019/02/14 16:01:24,[2/9]:自動発注商品絞り込みを開始します
2019/02/14 16:01:24,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 16:01:24,-商品ID-                     -在庫数-
2019/02/14 16:01:25,97840410262291920193005608 / 0
2019/02/14 16:01:25,97840486941241920093016001 / 3
2019/02/14 16:01:25,97840489328371920193006506 / 0
2019/02/14 16:01:25,97843444273031920193007305 / 6
2019/02/14 16:01:25,97846456722565477845015644 / 2
2019/02/14 16:01:25,計5件ヒットしました
2019/02/14 16:01:25,[3/9]発注リストに追加します。
2019/02/14 16:01:25,発注ID[20190214001]:エラー
2019/02/14 16:01:25,発注ID[20190214002]:エラー
2019/02/14 16:01:25,発注ID[20190214003]:エラー
2019/02/14 16:01:26,発注ID[20190214004]:エラー
2019/02/14 16:01:26,発注ID[20190214005]:エラー
2019/02/14 16:01:26,[4/9]:発注明細リストに追加します。
2019/02/14 16:01:26,発注ID[20190214001]:エラー
2019/02/14 16:01:26,発注ID[20190214002]:エラー
2019/02/14 16:01:27,発注ID[20190214003]:エラー
2019/02/14 16:01:27,発注ID[20190214004]:エラー
2019/02/14 16:01:27,発注ID[20190214005]:エラー
2019/02/14 16:01:27,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/14 16:01:28,商品ID[97840410262291920193005608]:エラー
2019/02/14 16:01:28,商品ID[97840486941241920093016001]:エラー
2019/02/14 16:01:28,商品ID[97840489328371920193006506]:エラー
2019/02/14 16:01:28,商品ID[97843444273031920193007305]:エラー
2019/02/14 16:01:29,商品ID[97846456722565477845015644]:エラー
2019/02/14 16:01:29,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/14 16:01:29,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 16:01:29,-商品ID-                    -在庫数-
2019/02/14 16:01:29,97840489328371920193006506 / 12
2019/02/14 16:01:29,計1件ヒットしました
2019/02/14 16:01:29,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/14 16:01:30,発注ID[20190214007]:エラー
2019/02/14 16:01:30,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/14 16:01:30,発注ID[20190214007]:エラー
2019/02/14 16:01:30,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/14 16:01:30,商品ID[97840410262291920193005608]:エラー
2019/02/14 16:01:30,自動発注処理が完了しました。
